invoice_id,invoice_number,supplier_id,department_id,po_id,invoice_date,invoice_amount,currency,payment_terms_days,due_date,invoice_status,missing_po_flag,round_amount_flag,high_value_invoice_flag,invoice_due_days,duplicate_invoice_flag,supplier_name,supplier_category,supplier_country,onboarding_date,tax_id_clean,missing_tax_id_flag,bank_account,missing_bank_account_flag,department_name,business_unit,approval_threshold,po_supplier_id,po_department_id,po_date,po_amount,po_approval_status,po_buyer,payment_count,first_payment_date,last_payment_date,total_paid_amount,weekend_payment_flag,cash_payment_flag,pending_or_failed_payment_flag,payment_methods,payment_statuses,paid_flag,days_to_payment,days_late,payment_before_invoice_flag,late_payment_flag,very_late_payment_flag,payment_amount_difference,payment_amount_difference_pct,payment_amount_mismatch_flag,po_supplier_mismatch_flag,po_department_mismatch_flag,po_amount_difference,po_amount_difference_pct,invoice_exceeds_po_amount_flag,po_not_approved_flag,above_department_threshold_flag,invoice_month,invoice_quarter,invoice_year,audit_payment_status,duplicate_invoice_strict_flag,duplicate_invoice_number_amount_flag,previous_invoice_date_same_supplier_amount,days_since_previous_same_amount,same_supplier_same_amount_close_date_flag,audit_duplicate_risk_flag,audit_raw_risk_score,audit_rule_count,R01_missing_po_flag,R02_audit_duplicate_risk_flag,R03_round_amount_flag,R04_high_value_invoice_flag,R05_missing_tax_id_flag,R06_payment_before_invoice_flag,R07_very_late_payment_flag,R08_payment_amount_mismatch_flag,R09_weekend_payment_flag,R10_cash_payment_flag,R11_pending_or_failed_payment_flag,R12_po_supplier_mismatch_flag,R13_po_department_mismatch_flag,R14_invoice_exceeds_po_amount_flag,R15_po_not_approved_flag,R16_above_department_threshold_flag,audit_risk_score,audit_risk_level,primary_risk_driver
INV0000011,FCT-954236,SUP00010,DPT005,PO0004956,2024-03-06,285.58,USD,45,2024-04-20,Validated,0,0,0,45,0,Supplier_0010,Facilities,Algeria,2023-12-23,TAX-49419063,0,DZ585047589637,0,Sales,Technology,10000,SUP00010,DPT005,2024-07-04,12473.5,Approved,Buyer_F,1,2024-07-07,2024-07-07,289.41,1,0,0,Card,Completed,1,123.0,78.0,0,1,1,3.830000000000041,1.3411303312557046,0,0,0,-12187.92,-97.71050627329939,0,0,0,3,1,2024,Very Late Payment,0,0,,,0,0,15,2,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,8.06,Low Risk,R07 - Very late payment
INV0000012,FCT-964644,SUP00004,DPT011,PO0004219,2024-11-19,50000.0,EUR,30,2024-12-19,Validated,0,1,0,30,0,Supplier_0004,Professional Services,Turkey,2019-12-31,TAX-81427183,0,DZ687031845818,0,Logistics,Technology,25000,SUP00004,DPT011,2024-02-26,5172.13,Rejected,Buyer_A,1,2024-12-30,2024-12-30,50930.72,0,0,1,Bank Transfer,Failed,1,41.0,11.0,0,1,0,930.7200000000012,1.8614400000000024,0,0,0,44827.87,866.7197073546103,1,1,1,11,4,2024,Payment Issue,0,0,2024-02-18,275.0,0,0,41,5,0,0,6,0,0,0,0,0,0,0,7,0,0,10,12,6,22.04,Medium Risk,R15 - PO not approved
INV0000013,FCT-638246,SUP00028,DPT004,,2024-06-25,10734.8,EUR,45,2024-08-09,Validated,1,0,0,45,0,Supplier_0028,Facilities,Algeria,2023-01-04,TAX-54706429,0,DZ840796860525,0,Operations,Technology,10000,,,,,,,1,2024-08-15,2024-08-15,10643.92,0,0,0,Check,Completed,1,51.0,6.0,0,1,0,-90.8799999999992,-0.8465923911018296,0,0,0,,,0,0,1,6,2,2024,Late Payment,0,0,,,0,0,18,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9.68,Low Risk,R01 - Invoice without purchase order
INV0000014,FCT-681368,SUP00207,DPT004,PO0001226,2024-10-27,1750.1,USD,90,2025-01-25,Validated,0,0,0,90,0,Supplier_0207,IT Services,Algeria,2019-12-11,TAX-87451291,0,DZ515554477465,0,Operations,Technology,10000,SUP00207,DPT004,2024-11-12,9094.27,Approved,Buyer_D,1,2025-02-05,2025-02-05,1734.14,0,0,0,Bank Transfer,Completed,1,101.0,11.0,0,1,0,-15.959999999999809,-0.9119478886920638,0,0,0,-7344.17,-80.75601450143881,0,0,0,10,4,2024,Late Payment,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,No Exception,No Exception
INV0000015,FCT-243005,SUP00075,DPT001,PO0000692,2024-01-25,26908.89,DZD,45,2024-03-10,Validated,0,0,0,45,0,Supplier_0075,Office Supplies,Algeria,2020-02-13,TAX-45479944,0,DZ275937858623,0,Finance,Corporate,50000,SUP00075,DPT001,2024-06-20,8652.58,Approved,Buyer_B,1,2024-04-28,2024-04-28,27095.42,1,0,0,Bank Transfer,Completed,1,94.0,49.0,0,1,1,186.52999999999884,0.6931909863245895,0,0,0,18256.309999999998,210.9926750171625,1,0,0,1,1,2024,Very Late Payment,0,0,,,0,0,25,3,0,0,0,0,0,0,10,0,5,0,0,0,0,10,0,0,13.44,Low Risk,R14 - Invoice exceeds PO amount
INV0000016,FCT-764720,SUP00028,DPT001,PO0003522,2024-04-29,5311.56,DZD,15,2024-05-14,Validated,0,0,0,15,0,Supplier_0028,Facilities,Algeria,2023-01-04,TAX-54706429,0,DZ840796860525,0,Finance,Corporate,50000,SUP00028,DPT001,2024-07-23,9363.89,Approved,Buyer_A,1,2024-05-15,2024-05-15,5260.93,0,0,0,Bank Transfer,Completed,1,16.0,1.0,0,1,0,-50.63000000000011,-0.9532039551468893,0,0,0,-4052.329999999999,-43.27613844246354,0,0,0,4,2,2024,Late Payment,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,No Exception,No Exception
INV0000017,FCT-793347,SUP00043,DPT012,PO0003256,2024-05-16,15908.57,DZD,30,2024-06-15,Pending Review,0,0,0,30,0,Supplier_0043,Maintenance,Algeria,2023-01-23,TAX-52550557,0,DZ609778585728,0,General Administration,Support,5000,SUP00043,DPT012,2024-06-17,976.02,Approved,Buyer_D,1,2024-06-21,2024-06-21,15664.84,0,0,0,Bank Transfer,Completed,1,36.0,6.0,0,1,0,-243.72999999999956,-1.5320673071181103,0,0,0,14932.55,1529.9430339542223,1,0,1,5,2,2024,Late Payment,0,0,,,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,8.6,Low Risk,R14 - Invoice exceeds PO amount
INV0000018,FCT-207786,SUP00232,DPT001,PO0000359,2024-09-27,14651.29,DZD,30,2024-10-27,Validated,0,0,0,30,0,Supplier_0232,Logistics,Morocco,2024-05-22,TAX-12376227,0,DZ140603271138,0,Finance,Corporate,50000,SUP00232,DPT001,2024-11-21,4535.82,Approved,Buyer_D,1,2024-11-02,2024-11-02,14519.77,1,0,0,Bank Transfer,Completed,1,36.0,6.0,0,1,0,-131.52000000000044,-0.8976683964347196,0,0,0,10115.470000000001,223.01303843626954,1,0,0,9,3,2024,Late Payment,0,0,,,0,0,15,2,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,8.06,Low Risk,R14 - Invoice exceeds PO amount
INV0000019,FCT-724897,SUP00006,DPT004,PO0000614,2024-03-30,5144.66,DZD,60,2024-05-29,Validated,0,0,0,60,0,Supplier_0006,Telecom,Algeria,2022-03-07,TAX-29075914,0,DZ251200763719,0,Operations,Technology,10000,SUP00006,DPT004,2024-06-13,4763.45,Approved,Buyer_F,1,2024-06-23,2024-06-23,5066.27,1,0,0,Bank Transfer,Completed,1,85.0,25.0,0,1,0,-78.38999999999942,-1.5237158529426515,0,0,0,381.21000000000004,8.00281308715322,0,0,0,3,1,2024,Late Payment,0,0,,,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.69,Low Risk,R09 - Weekend payment
INV0000020,FCT-245672,SUP00245,DPT008,PO0004886,2024-09-26,581.89,DZD,45,2024-11-10,Validated,0,0,0,45,0,Supplier_0245,Office Supplies,Algeria,2017-08-05,TAX-81166416,0,DZ971877089224,0,Legal,Operations,50000,SUP00245,DPT008,2024-05-10,3694.83,Approved,Buyer_A,1,2024-11-20,2024-11-20,570.54,0,0,0,Bank Transfer,Completed,1,55.0,10.0,0,1,0,-11.350000000000023,-1.9505404801594843,0,0,0,-3112.94,-84.25123754002215,0,0,0,9,3,2024,Late Payment,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,No Exception,No Exception
INV0000021,FCT-669971,SUP00005,DPT006,PO0000494,2024-10-30,7546.94,DZD,30,2024-11-29,Validated,0,0,0,30,0,Supplier_0005,Consulting,Algeria,2022-11-17,TAX-84459703,0,DZ840814585673,0,Marketing,Support,100000,SUP00005,DPT006,2024-10-14,5267.83,Approved,Buyer_A,1,2024-11-06,2024-11-06,7728.3,0,0,0,Bank Transfer,Completed,1,7.0,-23.0,0,0,0,181.36000000000058,2.4030931741871617,0,0,0,2279.1099999999997,43.2646839400664,1,0,0,10,4,2024,Paid On Time or Early,0,0,,,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5.38,Low Risk,R14 - Invoice exceeds PO amount
INV0000022,FCT-805429,SUP00259,DPT005,PO0003651,2024-03-29,10996.92,EUR,30,2024-04-28,Validated,0,0,0,30,0,Supplier_0259,Maintenance,Algeria,2021-12-14,TAX-55577690,0,DZ591108124672,0,Sales,Technology,10000,SUP00259,DPT005,2024-10-19,2712.0,Approved,Buyer_C,1,2024-04-01,2024-04-01,10781.18,0,0,0,Bank Transfer,Completed,1,3.0,-27.0,0,0,0,-215.73999999999978,-1.9618220374432096,0,0,0,8284.92,305.4911504424779,1,0,1,3,1,2024,Paid On Time or Early,0,0,,,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,8.6,Low Risk,R14 - Invoice exceeds PO amount
INV0000023,FCT-337681,SUP00241,DPT011,PO0000232,2024-12-24,2834.31,EUR,45,2025-02-07,Validated,0,0,0,45,0,Supplier_0241,Marketing Services,Algeria,2021-05-02,TAX-16267657,0,DZ610703302193,0,Logistics,Technology,25000,SUP00241,DPT011,2024-03-24,7403.84,Rejected,Buyer_D,1,2025-03-03,2025-03-03,2836.31,0,0,1,Bank Transfer,Pending,1,69.0,24.0,0,1,0,2.0,0.07056391149874221,0,0,0,-4569.530000000001,-61.71837857111986,0,1,0,12,4,2024,Payment Issue,0,0,,,0,0,19,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,12,0,10.22,Low Risk,R15 - PO not approved
INV0000024,FCT-878907,SUP00251,DPT009,,2024-09-01,7222.41,USD,60,2024-10-31,Validated,1,0,0,60,0,Supplier_0251,Consulting,Algeria,2018-08-19,TAX-69710792,0,DZ880572736450,0,Risk Management,Commercial,10000,,,,,,,0,,,0.0,0,0,0,Not Paid,Not Paid,0,,,0,0,0,,,0,0,0,,,0,0,0,9,3,2024,Unpaid,0,0,,,0,0,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,Low Risk,R01 - Invoice without purchase order
INV0000025,FCT-656780,SUP00007,DPT012,PO0001946,2024-07-04,5808.19,DZD,30,2024-08-03,Validated,0,0,0,30,0,Supplier_0007,Telecom,Germany,2020-06-10,TAX-28957574,0,DZ232177361339,0,General Administration,Support,5000,SUP00007,DPT012,2024-10-29,16538.77,Approved,Buyer_B,1,2024-08-12,2024-08-12,5644.88,0,0,0,Check,Completed,1,39.0,9.0,0,1,0,-163.3099999999995,-2.8117193135899394,0,0,0,-10730.580000000002,-64.88136663125493,0,0,1,7,3,2024,Late Payment,0,0,,,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3.23,Low Risk,R16 - Above department approval threshold
INV0000026,FCT-989413,SUP00274,DPT004,PO0003423,2024-02-02,2005.65,DZD,30,2024-03-03,Pending Review,0,0,0,30,0,Supplier_0274,Consulting,Turkey,2017-04-11,TAX-71505627,0,DZ650998907733,0,Operations,Technology,10000,SUP00274,DPT004,2024-11-04,2171.19,Approved,Buyer_D,1,2024-03-02,2024-03-02,2053.06,1,0,0,Bank Transfer,Completed,1,29.0,-1.0,0,0,0,47.409999999999854,2.363822202278556,0,0,0,-165.53999999999996,-7.624390311303937,0,0,0,2,1,2024,Paid On Time or Early,0,0,,,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.69,Low Risk,R09 - Weekend payment
INV0000027,FCT-834708,SUP00003,DPT004,PO0001044,2024-07-05,5351.52,DZD,45,2024-08-19,Validated,0,0,0,45,0,Supplier_0003,Office Supplies,Turkey,2024-05-16,TAX-67358568,0,DZ131354515251,0,Operations,Technology,10000,SUP00031,DPT004,2024-07-11,12086.67,Approved,Buyer_D,1,2024-08-10,2024-08-10,5355.89,1,0,0,Bank Transfer,Completed,1,36.0,-9.0,0,0,0,4.369999999999891,0.08165904266451196,0,1,0,-6735.15,-55.723784963103974,0,0,0,7,3,2024,Paid On Time or Early,0,0,,,0,0,25,2,0,0,0,0,0,0,0,0,5,0,0,20,0,0,0,0,13.44,Low Risk,R12 - PO supplier mismatch
INV0000028,FCT-666502,SUP00001,DPT007,PO0004138,2024-04-10,3342.28,DZD,30,2024-05-10,Validated,0,0,0,30,0,Supplier_0001,Training,Turkey,2020-02-17,TAX-14868708,0,DZ492684993724,0,Human Resources,Corporate,25000,SUP00003,DPT007,2024-09-25,1478.7,Approved,Buyer_D,1,2024-06-15,2024-06-15,3417.7,1,0,0,Bank Transfer,Completed,1,66.0,36.0,0,1,1,75.41999999999962,2.2565434374139692,0,1,0,1863.5800000000002,126.02826807330764,1,0,0,4,2,2024,Very Late Payment,0,0,,,0,0,45,4,0,0,0,0,0,0,10,0,5,0,0,20,0,10,0,0,24.19,Medium Risk,R12 - PO supplier mismatch
INV0000029,FCT-250479,SUP00313,DPT002,PO0000493,2024-05-31,9240.31,DZD,30,2024-06-30,Validated,0,0,0,30,0,Supplier_0313,Consulting,Spain,2019-02-21,TAX-37707918,0,DZ943002722677,0,Procurement,Operations,50000,SUP00313,DPT002,2024-11-05,6268.34,Approved,Buyer_F,1,2024-07-09,2024-07-09,9129.31,0,0,0,Bank Transfer,Completed,1,39.0,9.0,0,1,0,-111.0,-1.2012583993394161,0,0,0,2971.9699999999993,47.412393073764335,1,0,0,5,2,2024,Late Payment,0,0,,,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,5.38,Low Risk,R14 - Invoice exceeds PO amount
INV0000030,FCT-956532,SUP00007,DPT011,,2024-01-11,3045.72,DZD,30,2024-02-10,Validated,1,0,0,30,0,Supplier_0007,Telecom,Germany,2020-06-10,TAX-28957574,0,DZ232177361339,0,Logistics,Technology,25000,,,,,,,1,2024-02-24,2024-02-24,3155.01,1,0,0,Bank Transfer,Completed,1,44.0,14.0,0,1,0,109.29000000000042,3.588314093219351,0,0,0,,,0,0,0,1,1,2024,Late Payment,0,0,,,0,0,17,2,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9.14,Low Risk,R01 - Invoice without purchase order
INV0000031,FCT-592628,SUP00010,DPT004,PO0002155,2024-10-15,100000.0,EUR,45,2024-11-29,Validated,0,1,1,45,0,Supplier_0010,Facilities,Algeria,2023-12-23,TAX-49419063,0,DZ585047589637,0,Operations,Technology,10000,SUP00010,DPT004,2024-10-16,12206.36,Rejected,Buyer_C,1,2024-12-19,2024-12-19,98239.89,0,0,0,Bank Transfer,Completed,1,65.0,20.0,0,1,0,-1760.1100000000006,-1.7601100000000005,0,0,0,87793.64,719.2450493021671,1,1,1,10,4,2024,Late Payment,0,0,2024-01-12,277.0,0,0,46,5,0,0,6,12,0,0,0,0,0,0,0,0,0,10,12,6,24.73,Medium Risk,R15 - PO not approved
INV0000032,FCT-475442,SUP00123,DPT002,,2024-02-17,912.88,EUR,15,2024-03-03,Validated,1,0,0,15,0,Supplier_0123,Maintenance,Germany,2023-04-29,TAX-35248506,0,DZ422805512374,0,Procurement,Operations,50000,,,,,,,1,2024-03-16,2024-03-16,920.5,1,0,0,Bank Transfer,Completed,1,28.0,13.0,0,1,0,7.6200000000000045,0.8347208833581636,0,0,0,,,0,0,0,2,1,2024,Late Payment,0,0,,,0,0,17,2,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9.14,Low Risk,R01 - Invoice without purchase order
INV0000033,FCT-288074,SUP00002,DPT001,PO0001857,2024-07-06,75918.41,DZD,30,2024-08-05,Validated,0,0,0,30,0,Supplier_0002,Training,Germany,2018-07-07,TAX-77575471,0,DZ797161493162,0,Finance,Corporate,50000,SUP00002,DPT009,2024-05-27,1680.56,Approved,Buyer_F,1,2024-08-02,2024-08-02,73112.5,0,0,0,Bank Transfer,Completed,1,27.0,-3.0,0,0,0,-2805.9100000000035,-3.6959546439394657,0,0,1,74237.85,4417.44716047032,1,0,1,7,3,2024,Paid On Time or Early,0,0,,,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,6,15.05,Medium Risk,R13 - PO department mismatch
INV0000034,FCT-561966,SUP00132,DPT011,PO0004249,2024-02-08,3567.23,DZD,15,2024-02-23,Validated,0,0,0,15,0,Supplier_0132,Consulting,Algeria,2018-07-29,TAX-59137027,0,DZ611140807385,0,Logistics,Technology,25000,SUP00132,DPT011,2024-11-26,19522.34,Approved,Buyer_E,1,2024-02-24,2024-02-24,3542.57,1,0,0,Bank Transfer,Completed,1,16.0,1.0,0,1,0,-24.659999999999854,-0.6912926836789288,0,0,0,-15955.11,-81.72744660732269,0,0,0,2,1,2024,Late Payment,0,0,,,0,0,5,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2.69,Low Risk,R09 - Weekend payment
INV0000035,FCT-597132,SUP00008,DPT011,PO0002360,2024-04-26,1635.84,EUR,30,2024-05-26,Validated,0,0,0,30,0,Supplier_0008,Logistics,France,2023-08-22,TAX-93140497,0,DZ874720876257,0,Logistics,Technology,25000,SUP00008,DPT011,2024-11-07,9871.32,Approved,Buyer_D,1,2024-06-12,2024-06-12,1634.12,0,0,0,Bank Transfer,Completed,1,47.0,17.0,0,1,0,-1.7200000000000273,-0.1051447574334915,0,0,0,-8235.48,-83.42835608611614,0,0,0,4,2,2024,Late Payment,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,No Exception,No Exception
INV0000036,FCT-140127,SUP00154,DPT002,PO0004088,2024-12-11,12016.55,DZD,30,2025-01-10,Validated,0,0,0,30,0,Supplier_0154,Logistics,Algeria,2019-11-11,TAX-88759684,0,DZ931510360489,0,Procurement,Operations,50000,SUP00154,DPT002,2024-01-20,9416.6,Rejected,Buyer_F,1,2025-01-31,2025-01-31,12016.66,0,0,1,Bank Transfer,Pending,1,51.0,21.0,0,1,0,0.11000000000058208,0.0009154041717513103,0,0,0,2599.949999999999,27.610283966612144,1,1,0,12,4,2024,Payment Issue,0,0,,,0,0,29,3,0,0,0,0,0,0,0,0,0,0,7,0,0,10,12,0,15.59,Medium Risk,R15 - PO not approved
