supplier_id,supplier_name,supplier_category,supplier_country,onboarding_date,payment_terms_days,tax_id,bank_account,missing_tax_id_flag,missing_bank_account_flag,tax_id_clean
SUP00041,Supplier_0041,Logistics,Turkey,2015-02-22,45,TAX-63972581,DZ360175223474,0,0,TAX-63972581
SUP00042,Supplier_0042,Office Supplies,Algeria,2019-04-04,60,TAX-16556692,DZ761252617701,0,0,TAX-16556692
SUP00043,Supplier_0043,Maintenance,Algeria,2023-01-23,60,TAX-52550557,DZ609778585728,0,0,TAX-52550557
SUP00044,Supplier_0044,Professional Services,Algeria,2021-11-18,45,TAX-65252722,DZ595817891640,0,0,TAX-65252722
SUP00045,Supplier_0045,Facilities,France,2023-05-08,30,TAX-95505497,DZ845692232354,0,0,TAX-95505497
SUP00046,Supplier_0046,Marketing Services,Tunisia,2019-01-18,45,TAX-57300679,DZ739479494567,0,0,TAX-57300679
SUP00047,Supplier_0047,Consulting,Algeria,2018-08-18,30,TAX-40844227,DZ123919988497,0,0,TAX-40844227
SUP00048,Supplier_0048,Training,Turkey,2021-11-29,45,TAX-60021373,DZ144513223431,0,0,TAX-60021373
SUP00049,Supplier_0049,Professional Services,Algeria,2016-06-30,90,TAX-25951194,DZ641402607209,0,0,TAX-25951194
SUP00050,Supplier_0050,Telecom,Algeria,2017-05-02,30,TAX-18162587,DZ537572868059,0,0,TAX-18162587
SUP00051,Supplier_0051,IT Services,France,2021-07-07,30,TAX-71028464,DZ334166189808,0,0,TAX-71028464
SUP00052,Supplier_0052,Logistics,Algeria,2016-03-02,15,TAX-98756516,DZ476790478582,0,0,TAX-98756516
SUP00053,Supplier_0053,Telecom,Algeria,2019-12-15,90,TAX-86140679,DZ782119286858,0,0,TAX-86140679
SUP00054,Supplier_0054,Training,Algeria,2018-07-23,30,TAX-62529564,DZ843950336191,0,0,TAX-62529564
SUP00055,Supplier_0055,Marketing Services,Tunisia,2019-11-22,15,TAX-13622836,DZ605100761100,0,0,TAX-13622836
SUP00056,Supplier_0056,Training,France,2024-05-05,30,TAX-98917394,DZ446832532771,0,0,TAX-98917394
SUP00057,Supplier_0057,Training,Tunisia,2015-09-30,15,TAX-50466941,DZ343627085345,0,0,TAX-50466941
SUP00058,Supplier_0058,Logistics,United Kingdom,2024-09-13,30,TAX-36069691,DZ569726623691,0,0,TAX-36069691
SUP00059,Supplier_0059,Training,Algeria,2019-05-20,30,TAX-90323891,DZ383274656707,0,0,TAX-90323891
SUP00060,Supplier_0060,Office Supplies,Germany,2022-07-11,30,TAX-77176250,DZ607685623341,0,0,TAX-77176250
SUP00061,Supplier_0061,Office Supplies,Algeria,2019-02-20,15,TAX-77465674,DZ708987144257,0,0,TAX-77465674
SUP00062,Supplier_0062,Professional Services,Algeria,2022-07-06,30,TAX-34997780,DZ159471289827,0,0,TAX-34997780
SUP00063,Supplier_0063,Professional Services,United Kingdom,2021-09-14,30,TAX-99262693,DZ100960718520,0,0,TAX-99262693
SUP00064,Supplier_0064,Consulting,United Kingdom,2016-05-27,15,TAX-50758082,DZ291049424956,0,0,TAX-50758082
SUP00065,Supplier_0065,Training,Algeria,2021-11-16,45,TAX-57827242,DZ905060347946,0,0,TAX-57827242
SUP00066,Supplier_0066,Consulting,Algeria,2022-05-04,30,TAX-77586171,DZ681661686905,0,0,TAX-77586171
SUP00067,Supplier_0067,Training,France,2018-10-12,30,TAX-69399614,DZ254764316743,0,0,TAX-69399614
SUP00068,Supplier_0068,IT Services,United Arab Emirates,2024-01-09,30,TAX-25505832,DZ901237565640,0,0,TAX-25505832
SUP00069,Supplier_0069,Telecom,France,2021-03-31,30,TAX-37223224,DZ522960346258,0,0,TAX-37223224
SUP00070,Supplier_0070,Telecom,Algeria,2018-04-02,15,TAX-42506704,DZ528482581010,0,0,TAX-42506704
SUP00071,Supplier_0071,Telecom,Algeria,2015-02-08,30,TAX-74305535,DZ941987749457,0,0,TAX-74305535
SUP00072,Supplier_0072,Professional Services,Algeria,2021-07-30,60,,DZ153538022964,1,0,MISSING_TAX_ID
SUP00073,Supplier_0073,Marketing Services,France,2017-01-14,15,TAX-76125015,DZ293660447165,0,0,TAX-76125015
SUP00074,Supplier_0074,Telecom,United Arab Emirates,2022-05-17,30,TAX-76465963,DZ627194192638,0,0,TAX-76465963
SUP00075,Supplier_0075,Office Supplies,Algeria,2020-02-13,30,TAX-45479944,DZ275937858623,0,0,TAX-45479944
SUP00076,Supplier_0076,Telecom,Algeria,2019-07-20,30,,DZ711574308287,1,0,MISSING_TAX_ID
SUP00077,Supplier_0077,Maintenance,Algeria,2016-08-05,30,TAX-90486429,DZ292683060402,0,0,TAX-90486429
SUP00078,Supplier_0078,Marketing Services,Germany,2021-12-07,45,TAX-60563703,DZ189241273538,0,0,TAX-60563703
SUP00079,Supplier_0079,Maintenance,United Kingdom,2016-08-13,60,TAX-23456407,DZ286286643676,0,0,TAX-23456407
SUP00080,Supplier_0080,Maintenance,Algeria,2019-01-27,30,TAX-74780427,DZ480460630844,0,0,TAX-74780427
SUP00081,Supplier_0081,IT Services,Algeria,2023-02-25,30,TAX-63061124,DZ258524469255,0,0,TAX-63061124
SUP00082,Supplier_0082,Consulting,France,2023-12-21,30,TAX-55804073,DZ221222822430,0,0,TAX-55804073
SUP00083,Supplier_0083,Office Supplies,Algeria,2024-08-22,30,TAX-75259378,DZ874253697596,0,0,TAX-75259378
SUP00084,Supplier_0084,Consulting,United Kingdom,2024-05-03,45,TAX-91637768,DZ388357483237,0,0,TAX-91637768
SUP00085,Supplier_0085,Marketing Services,Algeria,2020-06-02,30,TAX-39739254,DZ424682817866,0,0,TAX-39739254
SUP00086,Supplier_0086,Professional Services,Algeria,2016-12-14,30,TAX-47737088,DZ149743368551,0,0,TAX-47737088
SUP00087,Supplier_0087,Professional Services,Turkey,2023-03-07,60,TAX-27054563,DZ421632661151,0,0,TAX-27054563
SUP00088,Supplier_0088,Marketing Services,Algeria,2024-08-26,15,TAX-68236461,DZ338326459589,0,0,TAX-68236461
SUP00089,Supplier_0089,Training,Algeria,2021-05-06,30,TAX-46244245,DZ649436560606,0,0,TAX-46244245
SUP00090,Supplier_0090,Maintenance,Algeria,2016-05-19,45,TAX-40812618,DZ284851267904,0,0,TAX-40812618
SUP00091,Supplier_0091,IT Services,Algeria,2019-11-26,30,TAX-72687094,DZ899528907755,0,0,TAX-72687094
SUP00092,Supplier_0092,Telecom,Algeria,2019-05-15,15,TAX-46734099,DZ936699958826,0,0,TAX-46734099
SUP00093,Supplier_0093,Maintenance,Algeria,2023-03-20,30,TAX-51793109,DZ189847951459,0,0,TAX-51793109
SUP00094,Supplier_0094,Professional Services,Algeria,2018-10-29,60,TAX-49604509,DZ196662660659,0,0,TAX-49604509
SUP00095,Supplier_0095,Maintenance,Algeria,2018-03-15,15,TAX-33268442,DZ203793794299,0,0,TAX-33268442
SUP00096,Supplier_0096,Maintenance,France,2015-10-12,30,TAX-21322631,DZ657612330678,0,0,TAX-21322631
SUP00097,Supplier_0097,IT Services,Spain,2023-02-22,15,TAX-84451040,DZ209772067788,0,0,TAX-84451040
SUP00098,Supplier_0098,Maintenance,Algeria,2022-05-12,30,TAX-39239096,DZ867144086136,0,0,TAX-39239096
SUP00099,Supplier_0099,Telecom,Algeria,2015-05-27,45,TAX-70074092,DZ778844363443,0,0,TAX-70074092
SUP00100,Supplier_0100,Logistics,Algeria,2019-03-25,30,TAX-21816544,DZ837827972413,0,0,TAX-21816544
SUP00101,Supplier_0101,Professional Services,United Arab Emirates,2019-09-04,45,TAX-68996595,DZ573454474196,0,0,TAX-68996595
SUP00102,Supplier_0102,IT Services,United Arab Emirates,2019-07-29,45,TAX-75975940,DZ997009490366,0,0,TAX-75975940
SUP00103,Supplier_0103,Logistics,Algeria,2023-12-16,60,TAX-69661873,DZ139757592649,0,0,TAX-69661873
SUP00104,Supplier_0104,Marketing Services,Algeria,2016-06-20,15,TAX-37452939,DZ461138467767,0,0,TAX-37452939
SUP00105,Supplier_0105,Facilities,Algeria,2017-12-26,60,TAX-11778980,DZ391543002043,0,0,TAX-11778980
SUP00106,Supplier_0106,Office Supplies,Algeria,2016-10-06,45,TAX-89861698,DZ953780948840,0,0,TAX-89861698
SUP00107,Supplier_0107,Office Supplies,Algeria,2017-05-18,30,TAX-39389215,DZ619174862647,0,0,TAX-39389215
SUP00108,Supplier_0108,Marketing Services,Algeria,2023-11-04,45,TAX-82450557,DZ825571868899,0,0,TAX-82450557
SUP00109,Supplier_0109,Facilities,Algeria,2024-03-02,60,TAX-27802886,DZ253307074292,0,0,TAX-27802886
SUP00110,Supplier_0110,Training,Algeria,2015-06-08,30,TAX-24616943,DZ980770729509,0,0,TAX-24616943
SUP00111,Supplier_0111,IT Services,Algeria,2021-02-28,60,TAX-80033627,DZ548775592188,0,0,TAX-80033627
SUP00112,Supplier_0112,Office Supplies,Algeria,2017-04-08,30,TAX-94575873,DZ544304868643,0,0,TAX-94575873
SUP00113,Supplier_0113,Training,United Arab Emirates,2016-11-16,45,TAX-87456735,DZ973796255690,0,0,TAX-87456735
SUP00114,Supplier_0114,IT Services,Algeria,2016-11-23,90,TAX-77612154,DZ442659125095,0,0,TAX-77612154
SUP00115,Supplier_0115,Training,Turkey,2019-10-12,30,TAX-32201233,DZ457772522099,0,0,TAX-32201233
SUP00116,Supplier_0116,Office Supplies,Algeria,2024-09-14,60,TAX-92188944,DZ626277432523,0,0,TAX-92188944
SUP00117,Supplier_0117,Facilities,United Arab Emirates,2022-01-18,30,TAX-70106423,DZ215247349492,0,0,TAX-70106423
SUP00118,Supplier_0118,Office Supplies,Turkey,2019-10-23,45,TAX-25494801,DZ388977063770,0,0,TAX-25494801
SUP00119,Supplier_0119,Marketing Services,Morocco,2017-08-15,45,TAX-21642652,DZ273887490200,0,0,TAX-21642652
SUP00120,Supplier_0120,Professional Services,United Kingdom,2017-05-17,30,TAX-88404559,DZ192955131196,0,0,TAX-88404559
SUP00121,Supplier_0121,Consulting,Germany,2023-03-12,30,TAX-78930313,DZ879530145697,0,0,TAX-78930313
SUP00122,Supplier_0122,Maintenance,France,2023-03-23,30,TAX-22478904,DZ630398049514,0,0,TAX-22478904
SUP00123,Supplier_0123,Maintenance,Germany,2023-04-29,15,TAX-35248506,DZ422805512374,0,0,TAX-35248506
SUP00124,Supplier_0124,Telecom,Algeria,2021-03-19,15,TAX-35516868,DZ467802439629,0,0,TAX-35516868
SUP00125,Supplier_0125,Facilities,Algeria,2020-06-02,30,TAX-35299379,DZ488367103318,0,0,TAX-35299379
SUP00126,Supplier_0126,Professional Services,Algeria,2021-04-29,15,TAX-70726288,DZ669834263929,0,0,TAX-70726288
SUP00127,Supplier_0127,Marketing Services,United Arab Emirates,2018-12-19,30,TAX-92295001,DZ934092452339,0,0,TAX-92295001
SUP00128,Supplier_0128,Marketing Services,Algeria,2022-09-29,45,TAX-91929420,DZ939501657690,0,0,TAX-91929420
SUP00129,Supplier_0129,Marketing Services,Algeria,2022-06-08,45,TAX-28227016,DZ452342781577,0,0,TAX-28227016
SUP00130,Supplier_0130,Training,France,2015-07-26,45,,DZ396336213637,1,0,MISSING_TAX_ID
SUP00131,Supplier_0131,Logistics,Algeria,2022-01-24,30,TAX-58787112,DZ505941850166,0,0,TAX-58787112
SUP00132,Supplier_0132,Consulting,Algeria,2018-07-29,60,TAX-59137027,DZ611140807385,0,0,TAX-59137027
SUP00133,Supplier_0133,Logistics,Algeria,2020-04-04,45,TAX-73125198,DZ515636120304,0,0,TAX-73125198
SUP00134,Supplier_0134,IT Services,Algeria,2018-04-19,30,TAX-79218592,DZ692878068834,0,0,TAX-79218592
SUP00135,Supplier_0135,Consulting,Algeria,2024-01-29,30,TAX-95763021,DZ598959121041,0,0,TAX-95763021
SUP00136,Supplier_0136,IT Services,Algeria,2023-03-26,45,TAX-64905442,DZ388643992024,0,0,TAX-64905442
SUP00137,Supplier_0137,Telecom,Algeria,2018-03-24,30,TAX-77097507,DZ411157725186,0,0,TAX-77097507
SUP00138,Supplier_0138,Telecom,Algeria,2019-09-14,30,TAX-32959623,DZ440733508803,0,0,TAX-32959623
SUP00139,Supplier_0139,Professional Services,Algeria,2020-03-06,90,TAX-37694158,DZ185175791424,0,0,TAX-37694158
SUP00140,Supplier_0140,Marketing Services,Spain,2022-06-29,15,TAX-66293033,DZ249456369172,0,0,TAX-66293033
SUP00141,Supplier_0141,Telecom,Algeria,2021-09-19,15,TAX-15771548,DZ750802421930,0,0,TAX-15771548
SUP00142,Supplier_0142,Consulting,Tunisia,2023-04-22,90,TAX-38844204,DZ450187040369,0,0,TAX-38844204
SUP00143,Supplier_0143,Facilities,Turkey,2018-08-09,45,TAX-74619620,DZ293085075303,0,0,TAX-74619620
SUP00144,Supplier_0144,Maintenance,Algeria,2019-12-03,30,TAX-97851554,DZ606405169516,0,0,TAX-97851554
SUP00145,Supplier_0145,Facilities,Algeria,2019-03-14,60,TAX-56754669,DZ779985588225,0,0,TAX-56754669
SUP00146,Supplier_0146,Consulting,Algeria,2023-11-13,60,TAX-45970851,DZ331680126110,0,0,TAX-45970851
SUP00147,Supplier_0147,Marketing Services,United Arab Emirates,2017-12-21,30,,DZ844110893730,1,0,MISSING_TAX_ID
SUP00148,Supplier_0148,Professional Services,France,2020-09-21,45,,DZ934754373661,1,0,MISSING_TAX_ID
SUP00149,Supplier_0149,Marketing Services,United Kingdom,2016-03-03,30,TAX-59002750,DZ637655076165,0,0,TAX-59002750
SUP00150,Supplier_0150,Marketing Services,Algeria,2023-04-15,15,TAX-12090482,DZ702052893091,0,0,TAX-12090482
SUP00151,Supplier_0151,Consulting,France,2018-09-29,45,TAX-58531599,DZ147318391290,0,0,TAX-58531599
SUP00152,Supplier_0152,Logistics,Algeria,2018-04-27,30,TAX-46005529,DZ950967901918,0,0,TAX-46005529
SUP00153,Supplier_0153,Office Supplies,Spain,2020-09-06,45,TAX-73072152,DZ453236260838,0,0,TAX-73072152
SUP00154,Supplier_0154,Logistics,Algeria,2019-11-11,60,TAX-88759684,DZ931510360489,0,0,TAX-88759684
SUP00155,Supplier_0155,Professional Services,Spain,2023-04-07,15,TAX-96620363,DZ621079772274,0,0,TAX-96620363
SUP00156,Supplier_0156,Professional Services,United Arab Emirates,2020-03-06,45,TAX-64920469,DZ104156918958,0,0,TAX-64920469
SUP00157,Supplier_0157,Professional Services,Algeria,2020-01-15,30,,DZ134687799391,1,0,MISSING_TAX_ID
SUP00158,Supplier_0158,Logistics,France,2016-01-09,60,TAX-49954859,DZ712376925102,0,0,TAX-49954859
SUP00159,Supplier_0159,Facilities,Algeria,2015-03-20,30,TAX-25881544,DZ606401212448,0,0,TAX-25881544
SUP00160,Supplier_0160,IT Services,Spain,2018-11-19,45,TAX-86258045,DZ123879193485,0,0,TAX-86258045
SUP00161,Supplier_0161,Logistics,Algeria,2024-09-23,45,TAX-86858592,DZ769113965099,0,0,TAX-86858592
SUP00162,Supplier_0162,Consulting,Tunisia,2023-12-10,30,TAX-39531107,DZ866930803361,0,0,TAX-39531107
SUP00163,Supplier_0163,Logistics,Algeria,2021-02-17,45,TAX-38999410,DZ546775734194,0,0,TAX-38999410
SUP00164,Supplier_0164,Facilities,Tunisia,2021-02-23,45,TAX-87095199,DZ519181696321,0,0,TAX-87095199
SUP00165,Supplier_0165,Logistics,United Kingdom,2018-10-25,45,TAX-59009355,DZ104925797951,0,0,TAX-59009355
SUP00166,Supplier_0166,Facilities,France,2016-09-23,45,TAX-54084182,DZ807984741243,0,0,TAX-54084182
SUP00167,Supplier_0167,Marketing Services,Germany,2015-01-31,90,TAX-49849314,DZ397644460071,0,0,TAX-49849314
SUP00168,Supplier_0168,Professional Services,United Kingdom,2018-04-21,30,TAX-66898224,DZ890887257803,0,0,TAX-66898224
SUP00169,Supplier_0169,Marketing Services,Tunisia,2018-01-31,30,TAX-83168296,DZ435754528801,0,0,TAX-83168296
SUP00170,Supplier_0170,Office Supplies,Algeria,2016-11-13,15,TAX-40070013,DZ608570119567,0,0,TAX-40070013
SUP00171,Supplier_0171,Telecom,France,2017-07-11,45,TAX-82823063,DZ343307609379,0,0,TAX-82823063
SUP00172,Supplier_0172,Facilities,Algeria,2015-03-30,30,TAX-31978449,DZ244529481326,0,0,TAX-31978449
SUP00173,Supplier_0173,Office Supplies,France,2020-12-04,30,TAX-46254483,DZ797417113042,0,0,TAX-46254483
SUP00174,Supplier_0174,Telecom,Algeria,2024-01-15,15,TAX-92140464,DZ546931430961,0,0,TAX-92140464
SUP00175,Supplier_0175,Office Supplies,Algeria,2021-09-25,60,TAX-95900781,DZ582839131376,0,0,TAX-95900781
SUP00176,Supplier_0176,Telecom,Algeria,2019-05-15,30,TAX-38443964,DZ968874358132,0,0,TAX-38443964
SUP00177,Supplier_0177,Telecom,Algeria,2019-02-05,45,TAX-85899058,DZ967221920998,0,0,TAX-85899058
SUP00178,Supplier_0178,Marketing Services,Algeria,2017-12-30,30,TAX-94247851,DZ870077909531,0,0,TAX-94247851
SUP00179,Supplier_0179,Telecom,Germany,2016-05-21,90,TAX-98038397,DZ268848363488,0,0,TAX-98038397
SUP00180,Supplier_0180,Office Supplies,United Kingdom,2020-10-31,30,TAX-11881308,DZ634845424870,0,0,TAX-11881308
SUP00181,Supplier_0181,IT Services,Algeria,2020-07-09,30,TAX-77049236,DZ890332682189,0,0,TAX-77049236
SUP00182,Supplier_0182,IT Services,France,2015-01-27,60,TAX-99707110,DZ437017542803,0,0,TAX-99707110
SUP00183,Supplier_0183,Marketing Services,Tunisia,2019-01-19,60,TAX-78820049,DZ190995549341,0,0,TAX-78820049
SUP00184,Supplier_0184,Facilities,Algeria,2017-09-16,30,TAX-30985700,DZ829866612015,0,0,TAX-30985700
SUP00185,Supplier_0185,Consulting,Algeria,2016-08-29,30,TAX-78633107,DZ533587196225,0,0,TAX-78633107
SUP00186,Supplier_0186,Marketing Services,Algeria,2021-11-07,45,,DZ607953412322,1,0,MISSING_TAX_ID
SUP00187,Supplier_0187,Telecom,France,2020-02-15,60,TAX-53254686,DZ983929866685,0,0,TAX-53254686
SUP00188,Supplier_0188,Office Supplies,Algeria,2021-03-06,30,TAX-66360483,DZ646490287444,0,0,TAX-66360483
SUP00189,Supplier_0189,Telecom,Germany,2021-12-14,30,TAX-51080697,DZ482481447099,0,0,TAX-51080697
SUP00190,Supplier_0190,Logistics,France,2024-07-27,45,TAX-72985018,DZ432985931062,0,0,TAX-72985018
SUP00191,Supplier_0191,Training,Algeria,2022-10-28,45,,DZ475857363388,1,0,MISSING_TAX_ID
SUP00192,Supplier_0192,Maintenance,Turkey,2021-01-17,45,TAX-64559854,DZ206559174860,0,0,TAX-64559854
SUP00193,Supplier_0193,Maintenance,Germany,2023-07-27,45,TAX-68033726,DZ815275502575,0,0,TAX-68033726
SUP00194,Supplier_0194,Consulting,Algeria,2019-08-27,30,,DZ853945172367,1,0,MISSING_TAX_ID
SUP00195,Supplier_0195,Marketing Services,Algeria,2024-08-06,60,TAX-36038811,DZ355957421115,0,0,TAX-36038811
SUP00196,Supplier_0196,Training,Algeria,2022-06-03,60,TAX-37484352,DZ373416956568,0,0,TAX-37484352
SUP00197,Supplier_0197,IT Services,Algeria,2023-10-21,45,TAX-33202756,DZ886900830700,0,0,TAX-33202756
SUP00198,Supplier_0198,Telecom,Algeria,2020-01-08,15,TAX-51559938,DZ121573319975,0,0,TAX-51559938
SUP00199,Supplier_0199,Marketing Services,Tunisia,2017-10-10,30,TAX-62736523,DZ568411699389,0,0,TAX-62736523
SUP00200,Supplier_0200,Telecom,Algeria,2024-05-22,45,TAX-42628241,DZ517308143212,0,0,TAX-42628241
SUP00201,Supplier_0201,Professional Services,Algeria,2021-01-28,15,TAX-46898414,DZ721114092619,0,0,TAX-46898414
SUP00202,Supplier_0202,Marketing Services,Spain,2022-08-15,90,,DZ247052530134,1,0,MISSING_TAX_ID
SUP00203,Supplier_0203,Logistics,Algeria,2019-06-29,30,TAX-29697094,DZ701497666714,0,0,TAX-29697094
SUP00204,Supplier_0204,Professional Services,Tunisia,2023-06-13,45,TAX-69169439,DZ439060607087,0,0,TAX-69169439
SUP00205,Supplier_0205,Consulting,Germany,2015-09-22,60,TAX-83445040,DZ656843300352,0,0,TAX-83445040
SUP00206,Supplier_0206,Maintenance,Algeria,2016-02-11,30,TAX-36163394,DZ136085508885,0,0,TAX-36163394
SUP00207,Supplier_0207,IT Services,Algeria,2019-12-11,30,TAX-87451291,DZ515554477465,0,0,TAX-87451291
SUP00208,Supplier_0208,Professional Services,Morocco,2022-02-20,45,TAX-61388032,DZ570025804583,0,0,TAX-61388032
SUP00209,Supplier_0209,Professional Services,Spain,2022-11-20,45,TAX-25092956,DZ292893762569,0,0,TAX-25092956
SUP00210,Supplier_0210,IT Services,Tunisia,2019-04-16,30,TAX-42939914,DZ225661288761,0,0,TAX-42939914
SUP00211,Supplier_0211,Telecom,Algeria,2021-05-01,45,TAX-10675632,DZ269626872710,0,0,TAX-10675632
SUP00212,Supplier_0212,Marketing Services,United Arab Emirates,2020-05-23,60,TAX-13525256,DZ409726970256,0,0,TAX-13525256
SUP00213,Supplier_0213,Telecom,France,2024-05-16,30,TAX-40251696,DZ187129134374,0,0,TAX-40251696
SUP00214,Supplier_0214,IT Services,Algeria,2021-05-17,30,TAX-50901617,DZ952587816155,0,0,TAX-50901617
SUP00215,Supplier_0215,Consulting,France,2019-01-23,30,TAX-81775974,DZ464494655345,0,0,TAX-81775974
SUP00216,Supplier_0216,Marketing Services,Spain,2024-06-14,30,TAX-22087217,DZ828072642255,0,0,TAX-22087217
SUP00217,Supplier_0217,Consulting,Algeria,2024-08-06,30,TAX-85525647,DZ976975410796,0,0,TAX-85525647
SUP00218,Supplier_0218,Logistics,Algeria,2016-07-02,30,TAX-31107048,DZ172661752002,0,0,TAX-31107048
SUP00219,Supplier_0219,Professional Services,United Kingdom,2017-10-23,45,TAX-22449616,DZ686502521140,0,0,TAX-22449616
SUP00220,Supplier_0220,Consulting,Algeria,2023-01-03,30,TAX-72990343,DZ884268178066,0,0,TAX-72990343
SUP00221,Supplier_0221,Professional Services,Algeria,2022-02-25,90,TAX-79690230,DZ670810990569,0,0,TAX-79690230
SUP00222,Supplier_0222,Consulting,Algeria,2024-06-16,30,TAX-64442100,DZ486123509221,0,0,TAX-64442100
SUP00223,Supplier_0223,Consulting,Algeria,2022-04-23,15,TAX-20413374,DZ487968721873,0,0,TAX-20413374
SUP00224,Supplier_0224,Maintenance,Turkey,2021-03-17,45,TAX-20381026,DZ132308997406,0,0,TAX-20381026
SUP00225,Supplier_0225,Telecom,Germany,2018-05-18,60,TAX-45105632,DZ581140676159,0,0,TAX-45105632
SUP00226,Supplier_0226,Consulting,Algeria,2015-01-17,30,TAX-50554010,DZ994188697107,0,0,TAX-50554010
